source,target,value
Massimiliano Culpo,lib/spack/spack/test/optional_deps.py,0.92
Massimiliano Culpo,lib/spack/spack/test/spec_dag.py,41.54
Veselin Dobrev,var/spack/repos/builtin/packages/libceed/package.py,1.8
Veselin Dobrev,var/spack/repos/builtin/packages/ceed/package.py,5.82
Veselin Dobrev,var/spack/repos/builtin/packages/mfem/package.py,12.03
Veselin Dobrev,var/spack/repos/builtin/packages/petsc/package.py,0.82
Veselin Dobrev,var/spack/repos/builtin/packages/occa/package.py,1.26
Veselin Dobrev,var/spack/repos/builtin/packages/hpgmg/package.py,0.8
Veselin Dobrev,var/spack/repos/builtin/packages/laghos/package.py,1.37
Gregory L. Lee,lib/spack/spack/build_systems/python.py,0.84
Gregory L. Lee,var/spack/repos/builtin/packages/stat/package.py,1.0
Gregory L. Lee,var/spack/repos/builtin/packages/graphlib/package.py,0.85
Gregory L. Lee,var/spack/repos/builtin/packages/freetype/package.py,0.82
Gregory L. Lee,var/spack/repos/builtin/packages/intel/package.py,0.5
Gregory L. Lee,lib/spack/spack/hooks/licensing.py,0.93
Gregory L. Lee,var/spack/packages/hdf5/package.py,0.8
Gregory L. Lee,lib/spack/spack/packages/launchmon/__init__.py,0.96
Gregory L. Lee,lib/spack/spack/util/executable.py,0.87
Gregory L. Lee,lib/spack/spack/util/prefix.py,1.06
Tzanio,var/spack/repos/builtin/packages/libceed/package.py,1.18
Tzanio,var/spack/repos/builtin/packages/ceed/package.py,1.97
Tzanio,var/spack/repos/builtin/packages/petsc/package.py,1.0
Tzanio,var/spack/repos/builtin/packages/hpgmg/package.py,1.56
Tzanio,var/spack/repos/builtin/packages/magma/package.py,2.31
Michael Kuhn,var/spack/repos/builtin/packages/json-c/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/likwid/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/flex/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/gtkplus/package.py,0.63
Michael Kuhn,var/spack/repos/builtin/packages/autoconf/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/canu/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/repeatmasker/package.py,0.81
Michael Kuhn,var/spack/repos/builtin/packages/vcftools/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/glib/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/openssl/package.py,0.89
Michael Kuhn,lib/spack/spack/fetch_strategy.py,0.89
Michael Kuhn,lib/spack/spack/build_systems/autotools.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/applewmproto/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/appres/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/atk/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/autogen/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/bdftopcf/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/beforelight/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/bigreqsproto/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/bitmap/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/cairo/package.py,1.69
Michael Kuhn,var/spack/repos/builtin/packages/compositeproto/package.py,0.89
